iMax B6 mini;Outlet A
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:00.000;5.12;0.53;1028
00:01.000;5.79;0.31;0
00:02.000;5.79;0.31;0
00:03.000;5.79;0.31;0
00:04.000;5.79;0.31;0
00:05.000;5.79;0.31;0
00:06.000;5.79;0.31;0
00:07.000;5.79;0.31;0
00:08.000;5.79;0.31;0
00:09.000;5.79;0.31;0
00:10.000;5.79;0.31;0
00:11.000;5.79;0.31;0
00:12.000;5.79;0.31;0
00:13.000;5.79;0.31;0
00:14.000;5.79;0.31;0
00:15.000;5.79;0.31;0
00:16.000;5.79;0.31;0
00:17.000;5.79;0.31;0
00:18.000;5.79;0.31;0
00:19.000;5.79;0.31;0
00:20.000;5.79;0.31;0
00:21.000;5.79;0.31;0
00:22.000;5.79;0.31;0
00:23.000;5.79;0.31;0
00:24.000;5.79;0.31;0
00:25.000;5.79;0.31;0
00:26.000;5.79;0.31;0
00:27.000;5.79;0.31;0
00:28.000;5.79;0.31;0
00:29.000;5.79;0.31;1
00:30.000;5.79;0.31;1
00:31.000;5.79;0.31;1
00:32.000;5.79;0.31;1
00:33.000;5.79;0.31;1
00:34.000;5.79;0.31;1
00:35.000;5.79;0.31;1
00:36.000;5.79;0.31;1
00:37.000;5.79;0.31;1
00:38.000;5.79;0.31;1
00:39.000;5.79;0.31;1
00:40.000;5.79;0.31;1
00:41.000;5.79;0.31;1
00:42.000;5.79;0.31;1
00:43.000;5.79;0.31;1
00:44.000;5.79;0.29;1
00:45.000;5.79;0.29;1
00:46.000;5.79;0.29;1
00:47.000;5.79;0.30;1
00:48.000;5.79;0.30;1
00:49.000;5.79;0.30;1
00:50.000;5.79;0.30;1
00:51.000;5.79;0.30;1
00:52.000;5.79;0.30;1
00:53.000;5.79;0.30;1
00:54.000;5.79;0.30;1
00:55.000;5.79;0.30;1
00:56.000;5.79;0.30;1
00:57.000;5.79;0.30;1
00:58.000;5.79;0.30;1
00:59.000;5.79;0.30;1
01:00.000;5.79;0.30;1
01:01.000;5.79;0.30;1
01:02.000;5.79;0.30;1
01:03.000;5.79;0.30;1
01:04.000;5.79;0.30;1
01:05.000;5.79;0.30;2
01:06.000;5.79;0.30;2
01:07.000;5.79;0.30;2
01:08.000;5.50;0.10;2
01:09.000;5.50;0.10;2
01:10.000;5.50;0.10;2
01:11.000;5.50;0.10;2
01:12.000;5.50;0.10;2
01:13.000;5.50;0.10;2
01:14.000;5.50;0.30;2
01:15.000;5.50;0.30;2
01:16.000;5.50;0.30;2
01:17.000;5.50;0.30;2
01:18.000;5.50;0.30;2
01:19.000;5.50;0.30;2
01:20.000;5.50;0.30;2
01:21.000;5.50;0.30;2
01:22.000;5.50;0.30;2
01:23.000;5.50;0.30;2
01:24.000;5.50;0.30;2
01:25.000;5.50;0.30;2
01:26.000;5.50;0.30;2
01:27.000;5.50;0.30;2
01:28.000;5.50;0.30;2
01:29.000;5.50;0.30;2
01:30.000;5.50;0.30;2
01:31.000;5.50;0.30;2
01:32.000;5.50;0.30;2
01:33.000;5.50;0.30;2
01:34.000;5.50;0.30;2
01:35.000;5.50;0.30;2
01:36.000;5.50;0.30;2
01:37.000;5.50;0.30;2
01:38.000;5.50;0.30;2
01:39.000;5.50;0.30;2
01:40.000;5.50;0.30;2
01:41.000;5.50;0.29;2
01:42.000;5.50;0.29;2
01:43.000;5.50;0.29;2
01:44.000;5.50;0.29;3
01:45.000;5.50;0.29;3
01:46.000;5.50;0.31;3
01:47.000;5.50;0.31;3
01:48.000;5.50;0.31;3
01:49.000;5.50;0.31;3
01:50.000;5.50;0.31;3
01:51.000;5.50;0.31;3
